t,u1,u2
0.000e+00,1.926e+01,2.086e+01
5.000e-01,1.759e+01,2.168e+01
1.000e+00,1.651e+01,2.087e+01
1.500e+00,1.644e+01,1.911e+01
2.000e+00,1.725e+01,1.844e+01
2.500e+00,1.756e+01,1.911e+01
3.000e+00,1.672e+01,1.946e+01
3.500e+00,1.671e+01,2.020e+01
4.000e+00,1.711e+01,1.920e+01
4.500e+00,1.703e+01,1.901e+01
5.000e+00,1.791e+01,1.884e+01
5.500e+00,1.765e+01,1.947e+01
6.000e+00,1.775e+01,1.993e+01
6.500e+00,1.940e+01,2.025e+01
7.000e+00,1.897e+01,2.094e+01
7.500e+00,1.853e+01,2.121e+01
8.000e+00,1.998e+01,2.061e+01
8.500e+00,1.969e+01,1.960e+01
9.000e+00,2.038e+01,1.946e+01
9.500e+00,2.031e+01,2.066e+01
1.000e+01,2.009e+01,2.089e+01
1.050e+01,2.024e+01,2.029e+01
1.100e+01,2.035e+01,2.019e+01
1.150e+01,2.094e+01,2.024e+01
1.200e+01,2.063e+01,1.993e+01
1.250e+01,2.005e+01,1.950e+01
1.300e+01,1.966e+01,1.996e+01
1.350e+01,1.951e+01,2.020e+01
1.400e+01,1.963e+01,2.000e+01
1.450e+01,1.890e+01,2.020e+01
1.500e+01,1.974e+01,1.935e+01
1.550e+01,2.035e+01,1.931e+01
1.600e+01,1.926e+01,1.994e+01
1.650e+01,2.028e+01,1.945e+01
1.700e+01,1.929e+01,2.029e+01
1.750e+01,1.942e+01,2.015e+01
1.800e+01,1.904e+01,1.966e+01
1.850e+01,1.849e+01,1.961e+01
1.900e+01,1.808e+01,1.895e+01
1.950e+01,1.858e+01,1.812e+01
2.000e+01,1.854e+01,1.915e+01
2.050e+01,1.845e+01,1.921e+01
2.100e+01,1.852e+01,1.885e+01
2.150e+01,1.829e+01,1.843e+01
2.200e+01,1.832e+01,1.856e+01
2.250e+01,1.842e+01,1.858e+01
2.300e+01,1.876e+01,1.917e+01
2.350e+01,1.884e+01,1.896e+01
2.400e+01,1.899e+01,1.857e+01
2.450e+01,1.916e+01,1.839e+01
2.500e+01,1.889e+01,1.877e+01
2.550e+01,1.884e+01,1.889e+01
2.600e+01,1.933e+01,1.886e+01
2.650e+01,1.986e+01,1.881e+01
2.700e+01,1.919e+01,1.862e+01
2.750e+01,1.945e+01,1.846e+01
2.800e+01,1.951e+01,1.806e+01
2.850e+01,1.841e+01,1.854e+01
2.900e+01,1.820e+01,1.819e+01
2.950e+01,1.849e+01,1.908e+01
3.000e+01,1.921e+01,1.985e+01
3.050e+01,1.908e+01,1.875e+01
3.100e+01,1.810e+01,1.889e+01
3.150e+01,1.696e+01,1.925e+01
3.200e+01,1.891e+01,1.900e+01
3.250e+01,1.829e+01,1.863e+01
3.300e+01,1.752e+01,1.904e+01
3.350e+01,1.762e+01,1.779e+01
3.400e+01,1.707e+01,1.698e+01
3.450e+01,1.647e+01,1.731e+01
3.500e+01,1.823e+01,1.785e+01
3.550e+01,1.839e+01,1.898e+01
3.600e+01,1.693e+01,1.825e+01
3.650e+01,1.742e+01,1.822e+01
3.700e+01,1.903e+01,1.884e+01
3.750e+01,1.954e+01,1.893e+01
3.800e+01,1.988e+01,1.947e+01
3.850e+01,1.974e+01,1.933e+01
3.900e+01,1.979e+01,1.979e+01
3.950e+01,1.990e+01,1.926e+01
4.000e+01,1.911e+01,1.930e+01
4.050e+01,1.960e+01,1.865e+01
4.100e+01,1.984e+01,1.776e+01
4.150e+01,1.956e+01,1.894e+01
4.200e+01,2.030e+01,1.929e+01
4.250e+01,1.894e+01,1.940e+01
4.300e+01,1.911e+01,1.955e+01
4.350e+01,1.847e+01,2.007e+01
4.400e+01,1.792e+01,2.075e+01
4.450e+01,1.795e+01,2.124e+01
4.500e+01,1.742e+01,2.109e+01
4.550e+01,1.783e+01,2.117e+01
4.600e+01,1.747e+01,2.137e+01
4.650e+01,1.722e+01,2.187e+01
4.700e+01,1.800e+01,2.170e+01
4.750e+01,1.796e+01,2.102e+01
4.800e+01,1.791e+01,2.058e+01
4.850e+01,1.778e+01,2.115e+01
4.900e+01,1.883e+01,2.145e+01
4.950e+01,1.821e+01,2.065e+01
5.000e+01,1.737e+01,2.037e+01
5.050e+01,1.780e+01,2.000e+01
5.100e+01,1.745e+01,1.920e+01
5.150e+01,1.739e+01,1.958e+01
5.200e+01,1.835e+01,1.981e+01
5.250e+01,1.927e+01,1.901e+01
5.300e+01,1.980e+01,1.964e+01
5.350e+01,2.007e+01,2.020e+01
5.400e+01,2.022e+01,2.017e+01
5.450e+01,2.018e+01,2.002e+01
5.500e+01,1.996e+01,2.081e+01
5.550e+01,2.001e+01,2.098e+01
5.600e+01,1.955e+01,2.026e+01
5.650e+01,1.945e+01,2.062e+01
5.700e+01,1.946e+01,2.068e+01
5.750e+01,1.982e+01,2.061e+01
5.800e+01,2.045e+01,2.044e+01
5.850e+01,2.053e+01,1.974e+01
5.900e+01,2.049e+01,2.020e+01
5.950e+01,2.094e+01,2.071e+01
6.000e+01,1.987e+01,2.063e+01
6.050e+01,1.942e+01,1.942e+01
6.100e+01,1.890e+01,1.880e+01
6.150e+01,1.916e+01,1.910e+01
6.200e+01,1.815e+01,1.975e+01
6.250e+01,1.831e+01,1.990e+01
6.300e+01,1.927e+01,1.959e+01
6.350e+01,1.982e+01,2.049e+01
6.400e+01,2.073e+01,2.157e+01
6.450e+01,2.036e+01,2.127e+01
6.500e+01,2.127e+01,2.178e+01
6.550e+01,2.160e+01,2.121e+01
6.600e+01,2.155e+01,2.207e+01
6.650e+01,2.193e+01,2.226e+01
6.700e+01,2.211e+01,2.177e+01
6.750e+01,2.237e+01,2.185e+01
6.800e+01,2.270e+01,2.247e+01
6.850e+01,2.223e+01,2.268e+01
6.900e+01,2.217e+01,2.296e+01
6.950e+01,2.214e+01,2.287e+01
7.000e+01,2.132e+01,2.316e+01
7.050e+01,2.089e+01,2.316e+01
7.100e+01,2.101e+01,2.299e+01
7.150e+01,2.097e+01,2.349e+01
7.200e+01,2.181e+01,2.304e+01
7.250e+01,2.181e+01,2.277e+01
7.300e+01,2.105e+01,2.239e+01
7.350e+01,2.061e+01,2.181e+01
7.400e+01,2.024e+01,2.083e+01
7.450e+01,2.039e+01,2.052e+01
7.500e+01,2.097e+01,2.085e+01
7.550e+01,2.099e+01,2.110e+01
7.600e+01,2.049e+01,2.086e+01
7.650e+01,2.150e+01,2.167e+01
7.700e+01,2.183e+01,2.165e+01
7.750e+01,2.129e+01,2.168e+01
7.800e+01,2.128e+01,2.168e+01
7.850e+01,2.205e+01,2.149e+01
7.900e+01,2.207e+01,2.061e+01
7.950e+01,2.162e+01,2.053e+01
8.000e+01,2.127e+01,2.161e+01
8.050e+01,2.121e+01,2.110e+01
8.100e+01,2.095e+01,2.140e+01
8.150e+01,2.020e+01,2.090e+01
8.200e+01,1.949e+01,2.079e+01
8.250e+01,1.963e+01,2.074e+01
8.300e+01,1.956e+01,2.070e+01
8.350e+01,1.966e+01,2.172e+01
8.400e+01,2.087e+01,2.143e+01
8.450e+01,2.134e+01,2.187e+01
8.500e+01,2.159e+01,2.276e+01
8.550e+01,2.071e+01,2.275e+01
8.600e+01,1.994e+01,2.248e+01
8.650e+01,1.935e+01,2.235e+01
8.700e+01,1.969e+01,2.241e+01
8.750e+01,1.995e+01,2.168e+01
8.800e+01,1.949e+01,2.119e+01
8.850e+01,1.886e+01,2.084e+01
8.900e+01,1.884e+01,2.042e+01
8.950e+01,1.933e+01,2.013e+01
9.000e+01,2.016e+01,2.067e+01
9.050e+01,2.016e+01,2.078e+01
9.100e+01,2.005e+01,1.990e+01
