t,x
0,3.5
0.1,3.51604737529679
0.2,3.60967126902505
0.3,3.68960197334897
0.4,3.71563258900614
0.5,3.80492389475244
0.6,3.88294721431545
0.7,3.92302009742398
0.8,4.00202083290045
0.9,4.19026930979372
1,4.46798534285885
1.1,4.74542409043651
1.2,5.1207096911471
1.3,5.50273497776036
1.4,5.82707318158147
1.5,6.16412203203012
1.6,6.46644187841623
1.7,6.6918669063558
1.8,6.9620689986729
1.9,7.2581770153394
2,7.55992852495933
2.1,7.8493167220257
2.2,8.06201028729017
2.3,8.27107511225795
2.4,8.47885814019483
2.5,8.70517477764649
2.6,8.96089169714747
2.7,9.19436452107119
2.8,9.40202820664915
2.9,9.53856373506207
3,9.64609060196373
3.1,9.71553230014846
3.2,9.76260454807591
3.3,9.75263283749252
3.4,9.67864820880455
3.5,9.46004320142689
3.6,9.28170724115177
3.7,9.14108168575265
3.8,9.02490514790015
3.9,8.93676873267682
4,8.76811977198802
4.1,8.61763036115337
4.2,8.45324917772783
4.3,8.3220451563512
4.4,8.18763429628491
4.5,8.04902852489202
4.6,7.92035605935385
4.7,7.81359464180893
4.8,7.73564804847505
4.9,7.69578206019574
5,7.70239282598119
5.1,7.696369890655
5.2,7.65206083866236
5.3,7.58085706829226
5.4,7.42898230963823
5.5,7.21777037912689
5.6,7.06765753976626
5.7,6.92766517198448
5.8,6.79828776705882
5.9,6.71674130720015
6,6.69644885000709
6.1,6.70122795182501
6.2,6.68861246787232
6.3,6.70948367285384
6.4,6.74672347846427
6.5,6.82898318408642
6.6,6.87647888480793
6.7,6.86991630365228
6.8,6.83546490319526
6.9,6.72719394552017
7,6.67064213655171
7.1,6.60951589477374
7.2,6.53979815935883
7.3,6.49737866022623
7.4,6.477283137747
7.5,6.46076896177724
7.6,6.39580082769174
7.7,6.2908541492724
7.8,6.12622180852123
7.9,5.94705499861573
8,5.76635137328405
8.1,5.64573127195666
8.2,5.5897982806083
8.3,5.52824117390772
8.4,5.5027338177058
8.5,5.46680128152706
8.6,5.45621794957042
8.7,5.47973593423625
8.8,5.5295658803848
8.9,5.55325638246664
9,5.54851593598006
9.1,5.49788297780708
9.2,5.39229360670534
9.3,5.32280620920299
9.4,5.38713172882731
9.5,5.42838145165052
9.6,5.4409429740091
9.7,5.42232563156673
9.8,5.37047582703095
9.9,5.26384420065905
10,5.12215147862776
10.1,4.94758106937324
10.2,4.72596317055756
10.3,4.53772279906331
10.4,4.36508891976826
10.5,4.21501905456502
10.6,4.0884086322539
10.7,3.98003665572555
10.8,3.91356168378794
10.9,3.89222924942372
11,3.89135721449618
11.1,3.79525190420749
