t,x
0.000000,3.501911
0.050000,3.501926
0.100000,3.499647
0.150000,3.492572
0.200000,3.483139
0.250000,3.470570
0.300000,3.453487
0.350000,3.431314
0.400000,3.402991
0.450000,3.370543
0.500000,3.333087
0.550000,3.291658
0.600000,3.245453
0.650000,3.192413
0.700000,3.131218
0.750000,3.060517
0.800000,2.980141
0.850000,2.895032
0.900000,2.807272
0.950000,2.719821
1.000000,2.633850
1.050000,2.546767
1.100000,2.457515
1.150000,2.365918
1.200000,2.274779
1.250000,2.183477
1.300000,2.089389
1.350000,1.992552
1.400000,1.891803
1.450000,1.784126
1.500000,1.668379
1.550000,1.544015
1.600000,1.413351
1.650000,1.277813
1.700000,1.139069
1.750000,0.997647
1.800000,0.855317
1.850000,0.713602
1.900000,0.574620
1.950000,0.440179
2.000000,0.310020
2.050000,0.185002
2.100000,0.065317
2.150000,-0.046511
2.200000,-0.146544
2.250000,-0.232115
2.300000,-0.303229
2.350000,-0.361022
2.400000,-0.406086
2.450000,-0.437320
2.500000,-0.454316
2.550000,-0.457022
2.600000,-0.448114
2.650000,-0.434630
2.700000,-0.417781
2.750000,-0.396792
2.800000,-0.375831
2.850000,-0.360303
2.900000,-0.354575
2.950000,-0.358733
3.000000,-0.367155
3.050000,-0.376288
3.100000,-0.385384
3.150000,-0.394110
3.200000,-0.402146
3.250000,-0.413306
3.300000,-0.429665
3.350000,-0.452719
3.400000,-0.485904
3.450000,-0.530228
3.500000,-0.581690
3.550000,-0.639242
3.600000,-0.703612
3.650000,-0.772998
3.700000,-0.847591
3.750000,-0.923964
3.800000,-1.000334
3.850000,-1.075406
3.900000,-1.152451
3.950000,-1.233741
4.000000,-1.318317
4.050000,-1.405231
4.100000,-1.494068
4.150000,-1.583770
4.200000,-1.672778
4.250000,-1.761269
4.300000,-1.847989
4.350000,-1.931787
4.400000,-2.009764
4.450000,-2.078044
4.500000,-2.132877
4.550000,-2.176670
4.600000,-2.214311
4.650000,-2.245500
4.700000,-2.267212
4.750000,-2.277297
4.800000,-2.277449
4.850000,-2.266786
4.900000,-2.245509
4.950000,-2.214312
5.000000,-2.173145
5.050000,-2.118203
5.100000,-2.048586
5.150000,-1.967870
5.200000,-1.876957
5.250000,-1.776110
5.300000,-1.666722
5.350000,-1.551733
5.400000,-1.431693
5.450000,-1.304776
5.500000,-1.172911
5.550000,-1.039219
5.600000,-0.904496
5.650000,-0.766071
5.700000,-0.626975
5.750000,-0.489632
5.800000,-0.353567
5.850000,-0.217172
5.900000,-0.081357
5.950000,0.052161
6.000000,0.183694
6.050000,0.315895
6.100000,0.450961
6.150000,0.586194
6.200000,0.717435
6.250000,0.842005
6.300000,0.957982
6.350000,1.066893
6.400000,1.169520
6.450000,1.264201
6.500000,1.346823
6.550000,1.417097
6.600000,1.474658
6.650000,1.522258
6.700000,1.562886
6.750000,1.598338
6.800000,1.631612
6.850000,1.665663
6.900000,1.698380
6.950000,1.729084
7.000000,1.756764
7.050000,1.779834
7.100000,1.800600
7.150000,1.818414
7.200000,1.833942
7.250000,1.851945
7.300000,1.873374
7.350000,1.894435
7.400000,1.916412
7.450000,1.939294
7.500000,1.960763
7.550000,1.975651
7.600000,1.983335
7.650000,1.984774
7.700000,1.978015
7.750000,1.961818
7.800000,1.938000
7.850000,1.909512
7.900000,1.877932
7.950000,1.844019
8.000000,1.809463
8.050000,1.775192
8.100000,1.739218
8.150000,1.702979
8.200000,1.668021
8.250000,1.635328
8.300000,1.603678
8.350000,1.572804
8.400000,1.542737
8.450000,1.515177
8.500000,1.488707
8.550000,1.459209
8.600000,1.425769
8.650000,1.389362
8.700000,1.350420
8.750000,1.309584
8.800000,1.270166
8.850000,1.233391
8.900000,1.199762
8.950000,1.169869
9.000000,1.143801
9.050000,1.123196
9.100000,1.108570
9.150000,1.097978
9.200000,1.091489
