t,x1,y1,z1,x2,y2,z2
0.000000e+00,5.347218e-02,5.770486e-02,4.429120e-02,3.008868e-02,7.181516e-02,2.929717e-02
5.000000e-01,4.940384e-02,5.727253e-02,4.908690e-02,2.549155e-02,7.132955e-02,2.562695e-02
1.000000e+00,5.108312e-02,5.260322e-02,5.174541e-02,2.744223e-02,6.648069e-02,2.227711e-02
1.500000e+00,5.743071e-02,5.923148e-02,4.688833e-02,3.417468e-02,7.302436e-02,1.939684e-02
2.000000e+00,5.006600e-02,6.096892e-02,4.511565e-02,2.637391e-02,7.518481e-02,2.945416e-02
2.500000e+00,4.832110e-02,5.397582e-02,4.291291e-02,2.504329e-02,6.834944e-02,3.533973e-02
3.000000e+00,5.706248e-02,5.460656e-02,4.907835e-02,3.445420e-02,6.846216e-02,2.476305e-02
3.500000e+00,5.069598e-02,5.677644e-02,3.366900e-02,2.767622e-02,7.068415e-02,7.701062e-03
4.000000e+00,4.791993e-02,5.196497e-02,4.450716e-02,2.490202e-02,6.584791e-02,1.207563e-02
4.500000e+00,5.579102e-02,5.358858e-02,5.191434e-02,3.299698e-02,6.752633e-02,3.207086e-02
5.000000e+00,5.427496e-02,5.928298e-02,5.147539e-02,3.122735e-02,7.346725e-02,4.194306e-02
5.500000e+00,4.927404e-02,5.550978e-02,5.741175e-02,2.619425e-02,6.964723e-02,3.864705e-02
6.000000e+00,5.216464e-02,5.221832e-02,5.981001e-02,2.920471e-02,6.630387e-02,4.192224e-02
6.500000e+00,5.650518e-02,5.617455e-02,5.934851e-02,3.366400e-02,6.985019e-02,2.668920e-02
7.000000e+00,5.113439e-02,6.081985e-02,4.785420e-02,2.807513e-02,7.475232e-02,2.197496e-02
7.500000e+00,5.117670e-02,5.154886e-02,4.285910e-02,2.737637e-02,6.562716e-02,2.393540e-02
8.000000e+00,5.643331e-02,5.062598e-02,3.915374e-02,3.280289e-02,6.462416e-02,2.252534e-02
8.500000e+00,5.203551e-02,5.932219e-02,4.357633e-02,2.869014e-02,7.355693e-02,3.379825e-02
9.000000e+00,5.038430e-02,5.456302e-02,4.942013e-02,2.647444e-02,6.849450e-02,1.964613e-02
9.500000e+00,5.430119e-02,5.025129e-02,5.338320e-02,3.053627e-02,6.418376e-02,2.646014e-02
1.000000e+01,5.386077e-02,5.602329e-02,5.426363e-02,3.064260e-02,6.993045e-02,3.016523e-02
1.050000e+01,5.122617e-02,5.580745e-02,4.015457e-02,2.716541e-02,6.997206e-02,2.416629e-02
1.100000e+01,5.292929e-02,5.288505e-02,2.763703e-02,2.908471e-02,6.706281e-02,1.876413e-02
1.150000e+01,5.403046e-02,5.541383e-02,4.546148e-02,3.108150e-02,6.930084e-02,1.958152e-02
1.200000e+01,5.191032e-02,5.789336e-02,5.956531e-02,2.849898e-02,7.185229e-02,3.324855e-02
1.250000e+01,5.165911e-02,5.266540e-02,6.563534e-02,2.807386e-02,6.658502e-02,3.737299e-02
1.300000e+01,5.287786e-02,5.360652e-02,6.482573e-02,3.024058e-02,6.768788e-02,4.620297e-02
1.350000e+01,5.340409e-02,5.971093e-02,5.145802e-02,3.050676e-02,7.397629e-02,4.440314e-02
1.400000e+01,5.182048e-02,5.606644e-02,5.049573e-02,2.858508e-02,7.009496e-02,2.911135e-02
1.450000e+01,5.211873e-02,5.227826e-02,4.360228e-02,2.929754e-02,6.619601e-02,1.830560e-02
1.500000e+01,5.408819e-02,5.567782e-02,5.036341e-02,3.126456e-02,6.943663e-02,1.918518e-02
1.550000e+01,5.260562e-02,5.734712e-02,5.182882e-02,2.970219e-02,7.134791e-02,2.986245e-02
1.600000e+01,5.112122e-02,5.287597e-02,4.107608e-02,2.809535e-02,6.718873e-02,3.376635e-02
1.650000e+01,5.281194e-02,5.446970e-02,4.114402e-02,2.971857e-02,6.847436e-02,2.110037e-02
1.700000e+01,5.356413e-02,5.953359e-02,4.645631e-02,3.038432e-02,7.350467e-02,2.383635e-02
