t,w1,w2,w3
0.000000,-0.324800,-0.044690,0.037932
0.050000,-0.326647,0.040593,0.078209
0.100000,-0.298769,0.104850,0.134345
0.150000,-0.256916,0.127010,0.187227
0.200000,-0.218151,0.121675,0.214523
0.250000,-0.186440,0.115726,0.211938
0.300000,-0.154588,0.122039,0.192566
0.350000,-0.113600,0.135976,0.171815
0.400000,-0.059471,0.147769,0.155947
0.450000,0.002919,0.152258,0.141768
0.500000,0.061834,0.148853,0.123536
0.550000,0.108275,0.137375,0.099744
0.600000,0.142587,0.117911,0.073786
0.650000,0.170491,0.095328,0.049002
0.700000,0.195688,0.080722,0.025147
0.750000,0.217745,0.083655,0.000286
0.800000,0.234552,0.101177,-0.025576
0.850000,0.244639,0.117480,-0.049169
0.900000,0.247796,0.117864,-0.064774
0.950000,0.245188,0.102205,-0.066586
1.000000,0.239186,0.082268,-0.053408
1.050000,0.232124,0.067519,-0.032462
1.100000,0.224987,0.057103,-0.015407
1.150000,0.217983,0.045455,-0.008444
1.200000,0.211723,0.031463,-0.008047
1.250000,0.205237,0.019007,-0.007403
1.300000,0.193380,0.010661,-0.004826
1.350000,0.171391,0.005093,-0.003907
1.400000,0.143564,0.000475,-0.007265
1.450000,0.121470,-0.002860,-0.013296
1.500000,0.109053,-0.004309,-0.018968
1.550000,0.094790,-0.006121,-0.022876
1.600000,0.065620,-0.012346,-0.024544
1.650000,0.025618,-0.023845,-0.023521
1.700000,-0.006245,-0.035858,-0.021256
1.750000,-0.017412,-0.042021,-0.021259
1.800000,-0.015564,-0.040710,-0.024937
1.850000,-0.018476,-0.037080,-0.029530
1.900000,-0.033829,-0.038921,-0.031696
1.950000,-0.053478,-0.050405,-0.030570
2.000000,-0.065926,-0.069072,-0.026205
2.050000,-0.069319,-0.088198,-0.017798
2.100000,-0.070642,-0.102458,-0.005774
2.150000,-0.074897,-0.111577,0.005478
2.200000,-0.079159,-0.118695,0.009919
2.250000,-0.078754,-0.125668,0.006121
2.300000,-0.076127,-0.131243,-0.000765
2.350000,-0.079827,-0.135203,-0.004832
2.400000,-0.095212,-0.141559,-0.005492
2.450000,-0.118483,-0.153021,-0.005995
2.500000,-0.140096,-0.163729,-0.007494
2.550000,-0.153016,-0.163002,-0.007628
2.600000,-0.157393,-0.147024,-0.005755
2.650000,-0.158435,-0.122799,-0.006529
2.700000,-0.161061,-0.099186,-0.014538
2.750000,-0.165835,-0.076947,-0.026169
2.800000,-0.168839,-0.050250,-0.031415
2.850000,-0.166024,-0.017780,-0.025322
2.900000,-0.158488,0.010712,-0.014047
2.950000,-0.153282,0.022821,-0.007138
3.000000,-0.157362,0.020146,-0.005553
3.050000,-0.169264,0.022987,-0.000792
3.100000,-0.177661,0.051904,0.012779
3.150000,-0.169754,0.104403,0.028788
3.200000,-0.141406,0.156653,0.035627
3.250000,-0.099621,0.187495,0.028799
3.300000,-0.056917,0.194095,0.013008
3.350000,-0.023390,0.187761,-0.004921
3.400000,-0.000650,0.181710,-0.021283
3.450000,0.019843,0.180887,-0.034762
3.500000,0.050632,0.178516,-0.043746
3.550000,0.096478,0.162253,-0.045792
3.600000,0.148283,0.126818,-0.039499
3.650000,0.190799,0.081597,-0.026317
3.700000,0.216319,0.043770,-0.009797
3.750000,0.228617,0.023617,0.007071
3.800000,0.235551,0.017973,0.023151
3.850000,0.242036,0.016112,0.037928
3.900000,0.248648,0.009565,0.050191
3.950000,0.252656,-0.001847,0.058615
4.000000,0.250135,-0.011097,0.063146
4.050000,0.239885,-0.011587,0.065438
4.100000,0.225844,-0.004546,0.067871
4.150000,0.213756,0.002325,0.071372
4.200000,0.204938,0.003996,0.074123
4.250000,0.194489,0.004496,0.073660
4.300000,0.176712,0.012803,0.070728
4.350000,0.152444,0.033244,0.070013
4.400000,0.130101,0.061266,0.076236
4.450000,0.117933,0.087320,0.089409
4.500000,0.113736,0.102814,0.104262
4.550000,0.103604,0.102887,0.114917
4.600000,0.074765,0.087389,0.119336
4.650000,0.030202,0.062764,0.118365
4.700000,-0.013545,0.040911,0.112549
4.750000,-0.043828,0.030441,0.102627
4.800000,-0.062458,0.028102,0.092269
4.850000,-0.077937,0.022459,0.086269
4.900000,-0.092302,0.006328,0.084371
4.950000,-0.099147,-0.017078,0.079291
5.000000,-0.092735,-0.040219,0.062846
5.050000,-0.075887,-0.060407,0.034045
5.100000,-0.058255,-0.081030,0.000594
5.150000,-0.048238,-0.105346,-0.027932
5.200000,-0.048492,-0.131638,-0.049060
5.250000,-0.058488,-0.153988,-0.070167
5.300000,-0.077279,-0.166419,-0.100993
