t,u1,u2
0.0000e+00,1.2381e+01,1.3055e+01
5.0000e-02,1.3095e+01,1.3442e+01
1.0000e-01,1.4112e+01,1.3206e+01
1.5000e-01,1.3201e+01,1.2265e+01
2.0000e-01,1.1869e+01,1.4431e+01
2.5000e-01,1.2903e+01,1.3621e+01
3.0000e-01,1.2344e+01,1.3206e+01
3.5000e-01,1.3768e+01,1.2614e+01
4.0000e-01,1.1762e+01,1.3325e+01
4.5000e-01,1.1594e+01,1.3601e+01
5.0000e-01,1.2102e+01,1.2126e+01
5.5000e-01,1.2277e+01,1.2099e+01
6.0000e-01,1.2403e+01,1.2312e+01
6.5000e-01,1.2504e+01,1.2611e+01
7.0000e-01,1.2630e+01,1.2835e+01
7.5000e-01,1.2738e+01,1.2951e+01
8.0000e-01,1.2733e+01,1.3011e+01
8.5000e-01,1.2600e+01,1.3032e+01
9.0000e-01,1.2437e+01,1.3024e+01
9.5000e-01,1.2353e+01,1.3039e+01
1.0000e+00,1.2368e+01,1.3129e+01
1.0500e+00,1.2441e+01,1.3250e+01
1.1000e+00,1.2543e+01,1.3266e+01
1.1500e+00,1.2659e+01,1.3106e+01
1.2000e+00,1.2738e+01,1.2872e+01
1.2500e+00,1.2733e+01,1.2733e+01
1.3000e+00,1.2705e+01,1.2725e+01
1.3500e+00,1.2770e+01,1.2735e+01
1.4000e+00,1.2951e+01,1.2649e+01
1.4500e+00,1.3156e+01,1.2505e+01
1.5000e+00,1.3299e+01,1.2482e+01
1.5500e+00,1.3374e+01,1.2697e+01
1.6000e+00,1.3402e+01,1.3084e+01
1.6500e+00,1.3379e+01,1.3481e+01
1.7000e+00,1.3293e+01,1.3753e+01
1.7500e+00,1.3165e+01,1.3855e+01
1.8000e+00,1.3035e+01,1.3816e+01
1.8500e+00,1.2867e+01,1.3732e+01
1.9000e+00,1.2631e+01,1.3728e+01
1.9500e+00,1.2426e+01,1.3844e+01
2.0000e+00,1.2399e+01,1.3964e+01
2.0500e+00,1.2554e+01,1.3955e+01
2.1000e+00,1.2687e+01,1.3854e+01
2.1500e+00,1.2578e+01,1.3822e+01
2.2000e+00,1.2281e+01,1.3929e+01
2.2500e+00,1.2084e+01,1.4028e+01
2.3000e+00,1.2180e+01,1.3947e+01
2.3500e+00,1.2464e+01,1.3750e+01
2.4000e+00,1.2703e+01,1.3647e+01
2.4500e+00,1.2810e+01,1.3745e+01
2.5000e+00,1.2880e+01,1.3945e+01
2.5500e+00,1.2984e+01,1.4028e+01
2.6000e+00,1.3031e+01,1.3870e+01
2.6500e+00,1.2912e+01,1.3554e+01
2.7000e+00,1.2713e+01,1.3301e+01
2.7500e+00,1.2671e+01,1.3288e+01
2.8000e+00,1.2910e+01,1.3490e+01
2.8500e+00,1.3272e+01,1.3728e+01
2.9000e+00,1.3471e+01,1.3850e+01
2.9500e+00,1.3363e+01,1.3861e+01
3.0000e+00,1.3051e+01,1.3859e+01
3.0500e+00,1.2744e+01,1.3882e+01
3.1000e+00,1.2576e+01,1.3866e+01
3.1500e+00,1.2566e+01,1.3747e+01
3.2000e+00,1.2702e+01,1.3556e+01
3.2500e+00,1.2959e+01,1.3394e+01
3.3000e+00,1.3246e+01,1.3324e+01
3.3500e+00,1.3439e+01,1.3342e+01
3.4000e+00,1.3499e+01,1.3408e+01
3.4500e+00,1.3499e+01,1.3495e+01
3.5000e+00,1.3505e+01,1.3607e+01
3.5500e+00,1.3485e+01,1.3746e+01
3.6000e+00,1.3393e+01,1.3871e+01
3.6500e+00,1.3296e+01,1.3907e+01
3.7000e+00,1.3332e+01,1.3799e+01
3.7500e+00,1.3511e+01,1.3593e+01
3.8000e+00,1.3670e+01,1.3416e+01
3.8500e+00,1.3626e+01,1.3352e+01
3.9000e+00,1.3387e+01,1.3347e+01
3.9500e+00,1.3149e+01,1.3302e+01
4.0000e+00,1.3075e+01,1.3203e+01
4.0500e+00,1.3144e+01,1.3117e+01
4.1000e+00,1.3249e+01,1.3093e+01
4.1500e+00,1.3343e+01,1.3109e+01
4.2000e+00,1.3462e+01,1.3107e+01
4.2500e+00,1.3623e+01,1.3068e+01
4.3000e+00,1.3771e+01,1.3027e+01
4.3500e+00,1.3821e+01,1.3026e+01
4.4000e+00,1.3749e+01,1.3058e+01
4.4500e+00,1.3624e+01,1.3079e+01
4.5000e+00,1.3558e+01,1.3055e+01
4.5500e+00,1.3607e+01,1.2985e+01
4.6000e+00,1.3724e+01,1.2880e+01
4.6500e+00,1.3807e+01,1.2765e+01
4.7000e+00,1.3772e+01,1.2691e+01
4.7500e+00,1.3625e+01,1.2700e+01
4.8000e+00,1.3460e+01,1.2781e+01
4.8500e+00,1.3380e+01,1.2853e+01
4.9000e+00,1.3382e+01,1.2847e+01
4.9500e+00,1.3365e+01,1.2803e+01
5.0000e+00,1.3264e+01,1.2875e+01
5.0500e+00,1.3119e+01,1.3166e+01
5.1000e+00,1.3026e+01,1.3583e+01
5.1500e+00,1.3008e+01,1.3908e+01
5.2000e+00,1.2995e+01,1.4001e+01
5.2500e+00,1.2943e+01,1.3902e+01
5.3000e+00,1.2893e+01,1.3764e+01
5.3500e+00,1.2875e+01,1.3702e+01
5.4000e+00,1.2848e+01,1.3700e+01
5.4500e+00,1.2768e+01,1.3678e+01
5.5000e+00,1.2657e+01,1.3610e+01
5.5500e+00,1.2568e+01,1.3538e+01
5.6000e+00,1.2506e+01,1.3504e+01
5.6500e+00,1.2421e+01,1.3500e+01
5.7000e+00,1.2298e+01,1.3524e+01
5.7500e+00,1.2193e+01,1.3635e+01
5.8000e+00,1.2164e+01,1.3883e+01
5.8500e+00,1.2172e+01,1.4162e+01
5.9000e+00,1.2109e+01,1.4248e+01
5.9500e+00,1.1944e+01,1.4030e+01
6.0000e+00,1.1794e+01,1.3626e+01
6.0500e+00,1.1773e+01,1.3249e+01
6.1000e+00,1.1814e+01,1.3010e+01
6.1500e+00,1.1747e+01,1.2900e+01
6.2000e+00,1.1547e+01,1.2897e+01
6.2500e+00,1.1401e+01,1.2984e+01
6.3000e+00,1.1477e+01,1.3085e+01
6.3500e+00,1.1718e+01,1.3107e+01
6.4000e+00,1.1918e+01,1.3045e+01
